dataset	seed	n_samples	synthetic_data_path	metrics_path
adult	42	100	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n100/synthetic_data.csv	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n100/metrics.json
adult	42	1000	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n1000/synthetic_data.csv	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n1000/metrics.json
adult	42	200	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n200/synthetic_data.csv	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n200/metrics.json
adult	42	500	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n500/synthetic_data.csv	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n500/metrics.json
adult	43	100	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n100/synthetic_data.csv	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n100/metrics.json
adult	43	1000	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n1000/synthetic_data.csv	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n1000/metrics.json
adult	43	200	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n200/synthetic_data.csv	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n200/metrics.json
adult	43	500	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n500/synthetic_data.csv	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n500/metrics.json
adult	44	100	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n100/synthetic_data.csv	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n100/metrics.json
adult	44	1000	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n1000/synthetic_data.csv	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n1000/metrics.json
adult	44	200	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n200/synthetic_data.csv	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n200/metrics.json
